binary,given_name,surname,date_of_birth,phone_number,email,address,city,state,zipcode,semi_constant_2,multicollinearity 3,constant_1,random choice 2,informative_2,correlated w target 2,uniform corr 1,pd qcut1,target,min max scaling,semi_constant_1,correlated w target 1,pd qcut3,outliers 2,multicollinearity 1,random choice 7,random choice 4,duplicate_2,duplicate_1,pd qcut2,random label num 14,uniform corr 2,multicollinearity 2,outliers 1,multicollinearity 4,random label num 3,standard scaling,corr_feature_class,informative_1,constant_2,class
,Shawn,,1933-08-31,(968)487-2956x27427,walkeramanda@example.com,045 Fowler Spring Apt. 450,West Bruce,MA,32951,q_const_0,0.606995029454576,constant_value,Rand Choice 2,-0.6638599972813359,1.00852717067184,,Low,-0.9042236742875387,374.3017159925722,q_const_0,,G4,0.6985920023907539,-1.3953362477421583,Thursday,West,-0.6638599972813359,-0.9991017824896424,Q2,label num hi 14,0.3369777324951754,-1.030274084332509,0.7681451999707188,0.3715353653379301,label num lo 3,53962.8535452474,3.184216898512261,-0.9991017824896424,constant_value,1
binary_2,John,Bryant,2004-12-19,731.899.4368x677,,76988 Tony Plains Suite 161,Shannonhaven,ME,,q_const_0,0.39620398744974994,constant_value,Rand Choice 2,1.153596854135379,6.1548791801174,0.5666519410226449,High,2.324369783092482,448.8594921815208,q_const_0,,G5,1.511143955097168,-0.04809885066566952,Monday,West,1.153596854135379,1.2466861830450993,Q3,label num hi 8,0.8329432588918875,,0.27404798831214233,0.1958919666873319,label num lo 3,42805.421121158855,,1.2466861830450993,constant_value,1
binary_1,,,1944-02-04,001-877-232-0290x332,,,Kaylafort,WA,03222,q_const_0,,constant_value,Rand Choice 2,0.8593974662590766,,,High,1.7782165547025084,254.07319219193062,q_const_0,-4.012952163089721,G5,-0.0037711540178611003,1.462379205274968,Saturday,South,0.8593974662590766,0.9627768269601935,Q3,label num hi 7,0.6857519477767559,0.8445245888153506,0.1880392394849782,-0.2399628244142728,label num lo 2,42575.62335559868,,0.9627768269601935,constant_value,1
binary_2,,,,768-419-9512x282,hcollins@example.net,585 Rivas River,East Rachel,DC,,q_const_0,-0.19161955522438065,constant_value,Rand Choice 1,2.0336452879154674,2.6557750120408743,0.6144278646345842,,5.451234575139656,,q_const_0,0.8616988538123884,G6,4.458769376590668,0.3729493344692855,Monday,South,2.0336452879154674,-2.9574409509433037,Q4,label num hi 6,0.7771351263812856,0.17412139385441824,1.78484728504141,-0.7701385423906544,label num lo 1,46758.87217450957,4.950943099759568,-2.9574409509433037,constant_value,1
binary_1,Shannon,Williamson,1993-01-06,,davidanderson@example.org,322 Roberts Mountains Suite 220,Katiebury,KS,83537,q_const_0,-0.2701349279056891,constant_value,Rand Choice 2,1.05944863351561,1.820966362306164,0.9015642220507458,High,2.1539258469951807,345.8416595460531,q_const_0,0.002023463410561366,G5,1.5543439865096071,-0.5688298233262475,,North,1.05944863351561,1.1411652716579705,Q3,label num hi 3,0.9929476701652303,,0.8468015736171917,0.9680971071497966,label num lo 1,64374.58978720018,2.071836969604475,1.1411652716579705,constant_value,1
binary_1,Briana,Taylor,1935-06-05,001-278-348-6443,lori81@example.net,,New Amy,NV,21519,q_const_0,,constant_value,,2.399635889224372,4.795678445663437,,High,4.626787069235546,334.3501256421005,q_const_0,5.39917997462201,G6,-0.1712023172976762,-0.43348106358987243,Friday,South,2.399635889224372,2.485477863898728,Q4,label num hi 14,0.8123423951363746,,0.12275139761282665,-0.40849625380701393,label num lo 3,,4.172686501946801,2.485477863898728,constant_value,1
binary_1,Donna,,,(218)935-5334,longcharles@example.org,2208 Kevin Cape Apt. 800,,MO,13923,q_const_0,-0.8821080758308845,constant_value,Rand Choice 2,-0.747560845179044,-1.7416558875561843,0.24900671699246124,Low,-1.187224231921867,435.1875721144294,q_const_0,,G3,6.777706574517674,0.5644484851999076,Thursday,West,-0.747560845179044,-0.6479636736717482,Q2,label num hi 2,0.19633942377182367,0.7665365293138416,-1.8061839173105014,-0.6485753437549083,label num lo 3,40367.42244430933,,-0.6479636736717482,constant_value,0
binary_2,Anthony,,1956-08-03,448.442.6249,jonessusan@example.com,15011 Vargas Crossing Apt. 727,Fieldsbury,MH,92251,q_const_0,,constant_value,Rand Choice 1,-0.8182224427035356,4.65947801263552,0.56494474006856,Low,-1.266374292198878,252.35645826629366,q_const_0,2.883885476640017,G3,3.0824572977024154,-1.129819228416365,Sunday,West,-0.8182224427035356,-0.8922328125534437,Q2,label num hi 14,0.41236597787373525,,-1.0103458500795395,0.20220498508326631,label num lo 1,45306.79262813866,-0.6255174053683143,-0.8922328125534437,constant_value,0
binary_1,,Smith,1922-11-11,001-526-630-8633x762,tony66@example.org,,,,,q_const_0,,constant_value,Rand Choice 2,-0.09154666780661158,0.7132550943624176,0.5484928582880628,High,0.24111056261580832,,q_const_0,1.3343558798996242,,2.3842695918252503,-0.9786243773031533,Thursday,North,-0.09154666780661158,-0.7273359834485558,,label num hi 8,0.7439870422721471,,-0.3033320254208096,0.47700561602610064,label num lo 1,35531.25563300613,,-0.7273359834485558,constant_value,0
,William,Jacobs,,398.739.8777,brooksmartin@example.net,,North Dawn,VT,50259,q_const_0,0.2599048026519976,constant_value,Rand Choice 1,-1.8069333466532713,-3.9893562485607905,0.02272710971878351,Low,-3.935564389564147,259.4233721623364,q_const_0,-4.947409640050364,,2.5168728506934976,-1.2154789361938703,,East,-1.8069333466532713,0.9753643211025785,Q1,label num hi 5,0.12840710155318308,-1.242350035664951,-3.5248485676034904,-0.6816040332060231,label num lo 1,66431.88814704838,-13.169187786705463,0.9753643211025785,constant_value,0
